archivo_a,archivo_b,similitud
attribution.txt,attribution.txt,100.0
sublime.py,sublime.py,100.0
sublime_plugin.py,sublime_plugin.py,100.0
LICENSE.txt,LICENSE.txt,100.0
LICENSE.txt,LICENSE.txt,100.0
flatlaf.LICENSE.txt,commons.LICENSE.txt,100.0
ant.LICENSE.txt,commons.LICENSE.txt,100.0
FailoverConnectionUrl.java,SingleConnectionUrl.java,100.0
OkFactory.java,StatementExecuteOkFactory.java,100.0
FetchDoneMoreResultsFactory.java,StatementExecuteOkFactory.java,100.0
CJTimeoutException.java,OperationCancelledException.java,91.46
InvalidConnectionAttributeException.java,WrongArgumentException.java,86.86
FailoverConnectionUrl.java,SingleConnectionUrl.java,100.0
OkFactory.java,StatementExecuteOkFactory.java,100.0
FetchDoneMoreResultsFactory.java,StatementExecuteOkFactory.java,100.0
CJTimeoutException.java,OperationCancelledException.java,91.46
InvalidConnectionAttributeException.java,WrongArgumentException.java,86.86
FailoverConnectionUrl.java,SingleConnectionUrl.java,100.0
OkFactory.java,StatementExecuteOkFactory.java,100.0
FetchDoneMoreResultsFactory.java,StatementExecuteOkFactory.java,100.0
CJTimeoutException.java,OperationCancelledException.java,91.46
InvalidConnectionAttributeException.java,WrongArgumentException.java,86.86
sublime.py,sublime.py,100.0
LICENSE.txt,LICENSE.txt,100.0
LICENSE.txt,LICENSE.txt,100.0
flatlaf.LICENSE.txt,commons.LICENSE.txt,100.0
ant.LICENSE.txt,commons.LICENSE.txt,100.0
