archivo_a,archivo_b,similitud,tamanio_a_kb,extension
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF3 Actividad Servicios y procesos.txt,receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAW Entregable 3. Análisis de Factibilidad.txt,92.72,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF3 Actividad Servicios y procesos.txt,ficherocifrado.txt,57.41,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF3 Actividad Servicios y procesos.txt,receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF2 AccDatos.txt,93.89,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF3 Actividad Servicios y procesos.txt,receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC03_NF1_GameDesign.txt,93.32,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF3 Actividad Servicios y procesos.txt,receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF2 Actividad Servicios y procesos.txt,99.0,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF3 Actividad Servicios y procesos.txt,receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF3 AccDatos.txt,94.02,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF3 Actividad Servicios y procesos.txt,receipt-2602_CFPSICB0_ONLINE_0489_2A_A-DAM_EC_Teorico_Practico_NF1_Multimedia_y_moviles.txt,94.46,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF3 Actividad Servicios y procesos.txt,receipt-250275105_0179_1A_A-Speaking_Examen 1ª convo. DAM_0179_ Inglés Profesional.txt,90.32,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF3 Actividad Servicios y procesos.txt,receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF4 AccDatos.txt,94.0,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF3 Actividad Servicios y procesos.txt,README.md,52.15,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF3 Actividad Servicios y procesos.txt,receipt-2509_DAM_O_EE_2A-Aplazamiento.txt,93.36,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF3 Actividad Servicios y procesos.txt,receipt-250275105_0179_1A_A-DAM EC TEST NF 1 PROFESSIONAL ENGLISH- SPEAKING.txt,91.81,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF3 Actividad Servicios y procesos.txt,receipt-250275105_0179_1A_A-DAM EC TEST NF 2 PROFESSIONAL ENGLISH - LISTENING.txt,87.17,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF3 Actividad Servicios y procesos.txt,receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF1 AccDatos.txt,93.67,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF3 Actividad Servicios y procesos.txt,receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF1 Actividad Servicios y procesos.txt,98.86,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF3 Actividad Servicios y procesos.txt,receipt-2602_CFPSICB0_ONLINE_0491_2A_A-DAM_EC_NF1_Sistemas_de_gestión_empresarial - Actividad 80 nota.txt,91.62,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF3 Actividad Servicios y procesos.txt,receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC01_NF1_GameDesign.txt,93.07,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF3 Actividad Servicios y procesos.txt,receipt-2509_CFPSICB0_ONLINE_0488_2A_A-DAM EC NF2 ACTIVIDAD DESARROLLO DE INTERFACES.txt,91.06,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF3 Actividad Servicios y procesos.txt,receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAM Entregable 2. Organización del proyecto.txt,92.42,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF3 Actividad Servicios y procesos.txt,receipt-2509_CFPSICB0_ONLINE_0492_2A_A-Entregable 5. Estructura del proyecto  Maquetación  Usabilidad.txt,91.94,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF3 Actividad Servicios y procesos.txt,receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAM Entregable 1. Evaluar ideas - Presentacion del proyecto.txt,89.76,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF3 Actividad Servicios y procesos.txt,github-recovery-codes.txt,54.62,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF3 Actividad Servicios y procesos.txt,receipt-2509_CFPSICB0_ONLINE_0492_2A_A-Entregable 6. PruebasTesteo de código.txt,92.86,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF3 Actividad Servicios y procesos.txt,Ejerpublica.java,40.66,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF3 Actividad Servicios y procesos.txt,Ejercicio02_Traspasos.java,63.89,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF3 Actividad Servicios y procesos.txt,Ejercicio03_Calculadora.java,64.53,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF3 Actividad Servicios y procesos.txt,Ejercicio01_Series.java,60.46,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF3 Actividad Servicios y procesos.txt,Ejercicio4_ProgModular.java,64.37,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF3 Actividad Servicios y procesos.txt,ThirdPartyNotices.txt,51.48,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF3 Actividad Servicios y procesos.txt,CodeHelper.md,49.39,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF3 Actividad Servicios y procesos.txt,README.md,51.89,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF3 Actividad Servicios y procesos.txt,README.md,53.2,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF3 Actividad Servicios y procesos.txt,README.md,46.42,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF3 Actividad Servicios y procesos.txt,LICENSE.txt,48.97,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF3 Actividad Servicios y procesos.txt,SECURITY.md,52.01,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF3 Actividad Servicios y procesos.txt,ThirdPartyNotices.txt,41.64,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF3 Actividad Servicios y procesos.txt,README.md,44.72,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF3 Actividad Servicios y procesos.txt,README.md,50.57,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF3 Actividad Servicios y procesos.txt,README.md,50.21,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF3 Actividad Servicios y procesos.txt,README.md,48.06,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF3 Actividad Servicios y procesos.txt,README.md,51.69,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF3 Actividad Servicios y procesos.txt,README.md,50.09,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF3 Actividad Servicios y procesos.txt,README.md,46.65,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF3 Actividad Servicios y procesos.txt,LICENSE.txt,49.8,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF3 Actividad Servicios y procesos.txt,README.md,50.22,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF3 Actividad Servicios y procesos.txt,README.md,51.86,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF3 Actividad Servicios y procesos.txt,README.md,46.43,0.36,.txt
receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF3 Actividad Servicios y procesos.txt,README.md,49.23,0.36,.txt
